Date,Close
24-Jun-2024,"7,761"
21-Jun-2024,"8,905"
20-Jun-2024,"9,055"
18-Jun-2024,"9,390"
17-Jun-2024,"9,151"
14-Jun-2024,"9,701"
13-Jun-2024,"10,110"
12-Jun-2024,"9,853"
11-Jun-2024,"9,254"
10-Jun-2024,"8,916"
07-Jun-2024,"9,163"
06-Jun-2024,"9,084"
05-Jun-2024,"8,694"
04-Jun-2024,"8,879"
03-Jun-2024,"8,887"
31-May-2024,"8,586"
30-May-2024,"8,542"
29-May-2024,"8,592"
28-May-2024,"8,126"
24-May-2024,"7,808"
23-May-2024,"7,658"
22-May-2024,"7,134"
21-May-2024,"7,012"
20-May-2024,"6,849"
17-May-2024,"6,955"
16-May-2024,"6,975"
15-May-2024,"7,843"
14-May-2024,"7,322"
13-May-2024,"7,166"
10-May-2024,"8,891"
09-May-2024,"8,695"
08-May-2024,"8,634"
07-May-2024,"8,610"
06-May-2024,"7,588"
03-May-2024,"8,145"
02-May-2024,"7,563"
01-May-2024,"8,284"
30-Apr-2024,"9,283"
29-Apr-2024,"8,931"
26-Apr-2024,"10,594"
25-Apr-2024,"10,804"
24-Apr-2024,"11,017"
23-Apr-2024,"10,444"
22-Apr-2024,"11,064"
19-Apr-2024,"11,461"
18-Apr-2024,"11,035"
17-Apr-2024,"10,066"
16-Apr-2024,"9,819"
15-Apr-2024,"10,559"
12-Apr-2024,"10,475"
11-Apr-2024,"9,891"
10-Apr-2024,"9,871"
09-Apr-2024,"9,594"
08-Apr-2024,"9,484"
05-Apr-2024,"9,312"
04-Apr-2024,"9,028"
03-Apr-2024,"9,050"
02-Apr-2024,"9,466"
01-Apr-2024,"9,614"
28-Mar-2024,"9,306"
27-Mar-2024,"9,318"
26-Mar-2024,"9,163"
25-Mar-2024,"9,076"
22-Mar-2024,"8,372"
21-Mar-2024,"8,011"
20-Mar-2024,"7,761"
19-Mar-2024,"7,369"
18-Mar-2024,"7,517"
15-Mar-2024,"7,224"
14-Mar-2024,"6,759"
13-Mar-2024,"7,035"
12-Mar-2024,"7,049"
11-Mar-2024,"6,728"
08-Mar-2024,"6,396"
07-Mar-2024,"6,452"
06-Mar-2024,"6,549"
05-Mar-2024,"6,450"
04-Mar-2024,"6,586"
01-Mar-2024,"6,327"
29-Feb-2024,"6,049"
28-Feb-2024,"5,994"
27-Feb-2024,"6,455"
26-Feb-2024,"6,557"
23-Feb-2024,"6,256"
22-Feb-2024,"5,860"
21-Feb-2024,"5,861"
20-Feb-2024,"5,629"
16-Feb-2024,"5,341"
15-Feb-2024,"5,605"
14-Feb-2024,"5,584"
13-Feb-2024,"5,652"
12-Feb-2024,"5,583"
09-Feb-2024,"5,599"
08-Feb-2024,"5,535"
07-Feb-2024,"5,241"
06-Feb-2024,"5,107"
05-Feb-2024,"5,074"
02-Feb-2024,"4,925"
01-Feb-2024,"4,871"
31-Jan-2024,"4,754"
30-Jan-2024,"4,739"
29-Jan-2024,"4,667"
26-Jan-2024,"4,601"
25-Jan-2024,"4,547"
24-Jan-2024,"4,691"
23-Jan-2024,"4,557"
22-Jan-2024,"4,508"
19-Jan-2024,"4,528"
18-Jan-2024,"4,399"
17-Jan-2024,"4,387"
16-Jan-2024,"4,375"
12-Jan-2024,"4,279"
11-Jan-2024,"4,229"
10-Jan-2024,"4,163"
09-Jan-2024,"4,119"
08-Jan-2024,"4,048"
05-Jan-2024,"4,170"
04-Jan-2024,"4,225"
03-Jan-2024,"4,205"
02-Jan-2024,"4,238"
29-Dec-2023,"4,162"
28-Dec-2023,"4,221"
27-Dec-2023,"4,240"
26-Dec-2023,"4,244"
22-Dec-2023,"4,268"
21-Dec-2023,"4,249"
20-Dec-2023,"4,264"
19-Dec-2023,"4,244"
18-Dec-2023,"4,222"
15-Dec-2023,"4,198"
14-Dec-2023,"4,216"
13-Dec-2023,"4,255"
12-Dec-2023,"4,235"
11-Dec-2023,"4,211"
08-Dec-2023,"4,271"
07-Dec-2023,"4,200"
06-Dec-2023,"4,126"
05-Dec-2023,"4,106"
04-Dec-2023,"4,171"
01-Dec-2023,"4,201"
30-Nov-2023,"4,277"
29-Nov-2023,"4,273"
28-Nov-2023,"4,201"
27-Nov-2023,"4,130"
24-Nov-2023,"4,089"
22-Nov-2023,"4,084"
21-Nov-2023,"4,118"
20-Nov-2023,"4,051"
17-Nov-2023,"4,108"
16-Nov-2023,"4,043"
15-Nov-2023,"3,992"
14-Nov-2023,"3,984"
13-Nov-2023,"4,064"
10-Nov-2023,"4,014"
09-Nov-2023,"3,972"
08-Nov-2023,"3,933"
07-Nov-2023,"3,905"
06-Nov-2023,"3,941"
03-Nov-2023,"3,927"
02-Nov-2023,"3,896"
01-Nov-2023,"3,826"
31-Oct-2023,"3,847"
30-Oct-2023,"3,857"
27-Oct-2023,"3,880"
26-Oct-2023,"3,844"
25-Oct-2023,"3,772"
24-Oct-2023,"3,764"
23-Oct-2023,"3,787"
20-Oct-2023,"3,720"
19-Oct-2023,"3,675"
18-Oct-2023,"3,664"
17-Oct-2023,"3,661"
16-Oct-2023,"3,615"
13-Oct-2023,"3,525"
12-Oct-2023,"3,516"
11-Oct-2023,"3,458"
10-Oct-2023,"3,494"
09-Oct-2023,"3,454"
06-Oct-2023,"3,470"
05-Oct-2023,"3,422"
04-Oct-2023,"3,449"
03-Oct-2023,"3,444"
02-Oct-2023,"3,513"
29-Sep-2023,"3,428"
28-Sep-2023,"3,464"
27-Sep-2023,"3,417"
26-Sep-2023,"3,502"
25-Sep-2023,"3,500"
22-Sep-2023,"3,578"
21-Sep-2023,"3,584"
20-Sep-2023,"3,575"
19-Sep-2023,"3,640"
18-Sep-2023,"3,625"
15-Sep-2023,"3,756"
14-Sep-2023,"3,730"
13-Sep-2023,"3,726"
12-Sep-2023,"3,649"
11-Sep-2023,"3,656"
08-Sep-2023,"3,654"
07-Sep-2023,"3,612"
06-Sep-2023,"3,652"
05-Sep-2023,"3,649"
01-Sep-2023,"3,605"
31-Aug-2023,"3,638"
30-Aug-2023,"3,639"
29-Aug-2023,"3,588"
28-Aug-2023,"3,475"
25-Aug-2023,"3,466"
24-Aug-2023,"3,435"
23-Aug-2023,"3,423"
22-Aug-2023,"3,423"
21-Aug-2023,"3,448"
18-Aug-2023,"3,449"
17-Aug-2023,"3,488"
16-Aug-2023,"3,452"
15-Aug-2023,"3,433"
14-Aug-2023,"3,397"
11-Aug-2023,"3,357"
10-Aug-2023,"3,358"
09-Aug-2023,"3,363"
08-Aug-2023,"3,376"
07-Aug-2023,"3,497"
04-Aug-2023,"3,498"
03-Aug-2023,"3,488"
02-Aug-2023,"3,551"
01-Aug-2023,"3,544"
31-Jul-2023,"3,543"
28-Jul-2023,"3,521"
27-Jul-2023,"3,524"
26-Jul-2023,"3,544"
25-Jul-2023,"3,467"
24-Jul-2023,"3,412"
21-Jul-2023,"3,404"
20-Jul-2023,"3,383"
19-Jul-2023,"3,418"
18-Jul-2023,"3,399"
17-Jul-2023,"3,359"
14-Jul-2023,"3,352"
13-Jul-2023,"3,267"
12-Jul-2023,"3,339"
11-Jul-2023,"3,332"
