Date,GBP= (BID)
,Close
24/6/2024,1.2693
21/6/2024,1.2645
20/6/2024,1.2655
19/6/2024,1.2717
18/6/2024,1.2707
17/6/2024,1.2703
14/6/2024,1.2682
13/6/2024,1.2759
12/6/2024,1.2796
11/6/2024,1.274
10/6/2024,1.273
07/6/2024,1.2721
06/6/2024,1.2788
05/6/2024,1.2785
04/6/2024,1.2763
03/6/2024,1.2804
31/5/2024,1.2739
30/5/2024,1.273
29/5/2024,1.2707
28/5/2024,1.276
27/5/2024,1.2767
24/5/2024,1.274
23/5/2024,1.2697
22/5/2024,1.2715
21/5/2024,1.2707
20/5/2024,1.2704
17/5/2024,1.2699
16/5/2024,1.2666
15/5/2024,1.2685
14/5/2024,1.2588
13/5/2024,1.2558
10/5/2024,1.2521
09/5/2024,1.2522
08/5/2024,1.2496
07/5/2024,1.2504
06/5/2024,1.2561
03/5/2024,1.2544
02/5/2024,1.2531
01/5/2024,1.2525
30/4/2024,1.249
29/4/2024,1.2561
26/4/2024,1.2489
25/4/2024,1.2513
24/4/2024,1.2461
23/4/2024,1.2448
22/4/2024,1.2349
19/4/2024,1.2371
18/4/2024,1.2435
17/4/2024,1.2446
16/4/2024,1.2424
15/4/2024,1.2444
12/4/2024,1.245
11/4/2024,1.255
10/4/2024,1.2531
09/4/2024,1.2676
08/4/2024,1.2652
05/4/2024,1.2636
04/4/2024,1.264
03/4/2024,1.2651
02/4/2024,1.2577
01/4/2024,1.255
29/3/2024,1.2623
28/3/2024,1.2622
27/3/2024,1.2638
26/3/2024,1.2625
25/3/2024,1.2634
22/3/2024,1.2601
21/3/2024,1.2656
20/3/2024,1.2784
19/3/2024,1.272
18/3/2024,1.2727
15/3/2024,1.2739
14/3/2024,1.2751
13/3/2024,1.2796
12/3/2024,1.2791
11/3/2024,1.2812
08/3/2024,1.2857
07/3/2024,1.2806
06/3/2024,1.2729
05/3/2024,1.2703
04/3/2024,1.269
01/3/2024,1.265
29/2/2024,1.2623
28/2/2024,1.2661
27/2/2024,1.2683
26/2/2024,1.2682
23/2/2024,1.2679
22/2/2024,1.2659
21/2/2024,1.2634
20/2/2024,1.2618
19/2/2024,1.2593
16/2/2024,1.2598
15/2/2024,1.26
14/2/2024,1.2565
13/2/2024,1.2589
12/2/2024,1.2626
09/2/2024,1.2619
08/2/2024,1.2616
07/2/2024,1.2625
06/2/2024,1.2597
05/2/2024,1.2532
02/2/2024,1.263
01/2/2024,1.2742
31/1/2024,1.2685
30/1/2024,1.2697
29/1/2024,1.2707
26/1/2024,1.2702
25/1/2024,1.2708
24/1/2024,1.2723
23/1/2024,1.2687
22/1/2024,1.2706
19/1/2024,1.27
18/1/2024,1.2705
17/1/2024,1.2672
16/1/2024,1.2636
15/1/2024,1.2725
12/1/2024,1.2751
11/1/2024,1.276
10/1/2024,1.2739
