Date,GBP= (BID)
,Close
24/6/2024,1.2681
17/6/2024,1.2645
10/6/2024,1.2682
03/6/2024,1.2721
27/5/2024,1.2739
20/5/2024,1.274
13/5/2024,1.2699
06/5/2024,1.2521
29/4/2024,1.2544
22/4/2024,1.2489
15/4/2024,1.2371
08/4/2024,1.245
01/4/2024,1.2636
25/3/2024,1.2623
18/3/2024,1.2601
11/3/2024,1.2739
04/3/2024,1.2857
26/2/2024,1.265
19/2/2024,1.2679
12/2/2024,1.2598
05/2/2024,1.2619
29/1/2024,1.263
22/1/2024,1.2702
15/1/2024,1.27
08/1/2024,1.2751
01/1/2024,1.2716
25/12/2023,1.2729
18/12/2023,1.27
11/12/2023,1.2675
04/12/2023,1.2546
27/11/2023,1.27
20/11/2023,1.2603
13/11/2023,1.2461
06/11/2023,1.2222
30/10/2023,1.2376
23/10/2023,1.2122
16/10/2023,1.216
09/10/2023,1.2141
02/10/2023,1.2238
25/9/2023,1.2197
18/9/2023,1.2238
11/9/2023,1.2389
04/9/2023,1.2464
28/8/2023,1.2588
21/8/2023,1.2577
14/8/2023,1.273
07/8/2023,1.2694
31/7/2023,1.2748
24/7/2023,1.285
17/7/2023,1.2855
10/7/2023,1.3086
03/7/2023,1.2836
26/6/2023,1.2704
19/6/2023,1.2711
12/6/2023,1.2817
05/6/2023,1.2569
29/5/2023,1.2448
22/5/2023,1.2343
15/5/2023,1.2444
08/5/2023,1.2457
01/5/2023,1.2641
24/4/2023,1.2572
17/4/2023,1.243
10/4/2023,1.2413
03/4/2023,1.2413
27/3/2023,1.2333
20/3/2023,1.223
13/3/2023,1.2175
06/3/2023,1.2028
27/2/2023,1.204
20/2/2023,1.1944
13/2/2023,1.2035
06/2/2023,1.2058
30/1/2023,1.2051
23/1/2023,1.2397
16/1/2023,1.2393
09/1/2023,1.2226
02/1/2023,1.2092
26/12/2022,1.2097
19/12/2022,1.2058
12/12/2022,1.214
05/12/2022,1.2255
28/11/2022,1.2287
21/11/2022,1.2093
14/11/2022,1.1884
07/11/2022,1.1835
31/10/2022,1.1375
24/10/2022,1.161
17/10/2022,1.1302
10/10/2022,1.117
03/10/2022,1.1084
26/9/2022,1.116
19/9/2022,1.0856
12/9/2022,1.1412
05/9/2022,1.1587
29/8/2022,1.1507
22/8/2022,1.1747
15/8/2022,1.1827
08/8/2022,1.213
01/8/2022,1.2071
25/7/2022,1.2166
18/7/2022,1.2002
11/7/2022,1.1852
04/7/2022,1.2027
27/6/2022,1.2094
20/6/2022,1.2262
13/6/2022,1.2224
06/6/2022,1.2314
30/5/2022,1.2485
23/5/2022,1.2616
16/5/2022,1.2487
09/5/2022,1.2261
02/5/2022,1.2337
25/4/2022,1.2571
18/4/2022,1.2837
11/4/2022,1.3058
04/4/2022,1.3031
28/3/2022,1.3112
21/3/2022,1.3188
14/3/2022,1.318
07/3/2022,1.3036
28/2/2022,1.3225
21/2/2022,1.3405
14/2/2022,1.359
07/2/2022,1.356
31/1/2022,1.3529
24/1/2022,1.3404
17/1/2022,1.3554
10/1/2022,1.3673
03/1/2022,1.3585
27/12/2021,1.3529
20/12/2021,1.3385
13/12/2021,1.3242
06/12/2021,1.3269
29/11/2021,1.3231
22/11/2021,1.334
15/11/2021,1.3452
08/11/2021,1.3413
01/11/2021,1.3494
25/10/2021,1.3691
18/10/2021,1.3751
11/10/2021,1.3749
04/10/2021,1.3611
27/9/2021,1.3545
20/9/2021,1.3682
13/9/2021,1.3742
06/9/2021,1.3839
30/8/2021,1.3865
23/8/2021,1.3757
16/8/2021,1.3621
09/8/2021,1.3863
02/8/2021,1.3871
26/7/2021,1.3901
19/7/2021,1.3745
12/7/2021,1.3772
05/7/2021,1.3899
28/6/2021,1.3821
21/6/2021,1.3877
